
> engine@0.1.0 start
> node --enable-source-maps out/main.js 0 9001

Created computer for team 0
Waiting for connection from team 1 on 9001
Connected to team 1 on 9001
Game started!
[Turn 19.4] [Damage event] BORDER: plane 26 damaged for 1 damage, now dead
[Turn 21.4] [Damage event] BORDER: plane 52 damaged for 1 damage, now dead
[Turn 26.533333333333335] [Damage event] BORDER: plane 4 damaged for 1 damage, now dead
[Turn 26.666666666666668] [Damage event] BORDER: plane 50 damaged for 1 damage, now dead
[Turn 29.466666666666665] [Damage event] BORDER: plane 23 damaged for 1 damage, now dead
[Turn 34.13333333333333] [Damage event] BORDER: plane 71 damaged for 1 damage, now dead
[Turn 40.4] [Damage event] BORDER: plane 29 damaged for 1 damage, now dead
[Turn 49.06666666666667] [Damage event] BORDER: plane 42 damaged for 1 damage, now dead
[Turn 52.06666666666667] [Damage event] BORDER: plane 91 damaged for 1 damage, now dead
[Turn 53.06666666666667] [Damage event] BORDER: plane 69 damaged for 1 damage, now dead
[Turn 54.46666666666667] [Damage event] BORDER: plane 86 damaged for 1 damage, now dead
[Turn 55.06666666666667] [Damage event] BORDER: plane 19 damaged for 1 damage, now dead
[Turn 55.53333333333333] [Damage event] BORDER: plane 20 damaged for 1 damage, now dead
[Turn 56.666666666666664] [Damage event] BORDER: plane 90 damaged for 1 damage, now dead
[Turn 57.266666666666666] [Damage event] BORDER: plane 63 damaged for 1 damage, now dead
[Turn 58.4] [Damage event] BORDER: plane 58 damaged for 1 damage, now dead
[Turn 60.4] [Damage event] BORDER: plane 78 damaged for 1 damage, now dead
[Turn 62.53333333333333] [Damage event] BORDER: plane 53 damaged for 1 damage, now dead
[Turn 82.53333333333333] [Damage event] BORDER: plane 35 damaged for 1 damage, now dead
[Turn 133.2] [Damage event] PLANE_ATTACK: plane 21 damaged by 2 for 1 damage, now dead
[Turn 135.86666666666667] [Damage event] PLANE_ATTACK: plane 39 damaged by 2 for 1 damage, now dead
[Turn 137.26666666666668] [Damage event] PLANE_ATTACK: plane 8 damaged by 2 for 1 damage, now dead
[Turn 138.73333333333332] [Damage event] PLANE_ATTACK: plane 44 damaged by 2 for 1 damage, now dead
[Turn 138.8] [Damage event] COLLISION: plane 98 damaged by 1 for 1 damage, now dead
[Turn 138.8] [Damage event] COLLISION: plane 1 damaged by 98 for 20 damage, now dead
[Turn 141.13333333333333] [Damage event] COLLISION: plane 95 damaged by 0 for 1 damage, now dead
[Turn 141.13333333333333] [Damage event] COLLISION: plane 0 damaged by 95 for 20 damage, now dead
[Turn 156.2] [Damage event] PLANE_ATTACK: plane 51 damaged by 2 for 1 damage, now dead
[Turn 158.2] [Damage event] PLANE_ATTACK: plane 77 damaged by 2 for 1 damage, now dead
[Turn 158.26666666666668] [Damage event] PLANE_ATTACK: plane 82 damaged by 2 for 1 damage, now dead
[Turn 159.73333333333332] [Damage event] PLANE_ATTACK: plane 64 damaged by 2 for 1 damage, now dead
[Turn 161.06666666666666] [Damage event] PLANE_ATTACK: plane 18 damaged by 2 for 1 damage, now dead
[Turn 162.6] [Damage event] PLANE_ATTACK: plane 16 damaged by 2 for 1 damage, now dead
[Turn 162.66666666666666] [Damage event] PLANE_ATTACK: plane 30 damaged by 2 for 1 damage, now dead
[Turn 166.2] [Damage event] COLLISION: plane 41 damaged by 2 for 1 damage, now dead
[Turn 166.2] [Damage event] COLLISION: plane 2 damaged by 41 for 20 damage, now dead
Game ended!
Writing gamelog to ../../logs/log_2024_09_21__21_41_09/gamelog.json...
Done
