
> engine@0.1.0 start
> node --enable-source-maps out/main.js 3001 3002

Waiting for connection from team 0 on 3001
Waiting for connection from team 1 on 3002
Connected to team 0 on 3001
Connected to team 1 on 3002
Game started!
[Turn 18.933333333333334] [Damage event] BORDER: plane 79 damaged for 1 damage, now dead
[Turn 20.533333333333335] [Damage event] BORDER: plane 21 damaged for 1 damage, now dead
[Turn 20.533333333333335] [Damage event] BORDER: plane 28 damaged for 1 damage, now dead
[Turn 24.533333333333335] [Damage event] BORDER: plane 88 damaged for 1 damage, now dead
[Turn 26] [Damage event] BORDER: plane 174 damaged for 1 damage, now dead
[Turn 30.4] [Damage event] BORDER: plane 85 damaged for 1 damage, now dead
[Turn 32.93333333333333] [Damage event] BORDER: plane 93 damaged for 1 damage, now dead
[Turn 32.93333333333333] [Damage event] BORDER: plane 143 damaged for 1 damage, now dead
[Turn 33.46666666666667] [Damage event] BORDER: plane 190 damaged for 1 damage, now dead
[Turn 42] [Damage event] BORDER: plane 114 damaged for 1 damage, now dead
[Turn 46.666666666666664] [Damage event] BORDER: plane 42 damaged for 1 damage, now dead
[Turn 46.93333333333333] [Damage event] BORDER: plane 105 damaged for 1 damage, now dead
[Turn 48.93333333333333] [Damage event] BORDER: plane 112 damaged for 1 damage, now dead
[Turn 51.06666666666667] [Damage event] BORDER: plane 12 damaged for 1 damage, now dead
[Turn 54.13333333333333] [Damage event] BORDER: plane 132 damaged for 1 damage, now dead
[Turn 56.666666666666664] [Damage event] BORDER: plane 101 damaged for 1 damage, now dead
[Turn 58.13333333333333] [Damage event] BORDER: plane 137 damaged for 1 damage, now dead
[Turn 62.53333333333333] [Damage event] BORDER: plane 49 damaged for 1 damage, now dead
[Turn 73.46666666666667] [Damage event] BORDER: plane 113 damaged for 1 damage, now dead
[Turn 95.26666666666667] [Damage event] COLLISION: plane 168 damaged by 57 for 1 damage, now dead
[Turn 95.26666666666667] [Damage event] COLLISION: plane 57 damaged by 168 for 1 damage, now dead
[Turn 95.86666666666666] [Damage event] COLLISION: plane 139 damaged by 45 for 1 damage, now dead
[Turn 95.86666666666666] [Damage event] COLLISION: plane 45 damaged by 139 for 1 damage, now dead
[Turn 101.6] [Damage event] COLLISION: plane 147 damaged by 3 for 1 damage, now dead
[Turn 101.6] [Damage event] COLLISION: plane 3 damaged by 147 for 1 damage, now dead
[Turn 102.93333333333334] [Damage event] COLLISION: plane 173 damaged by 81 for 1 damage, now dead
[Turn 102.93333333333334] [Damage event] COLLISION: plane 81 damaged by 173 for 1 damage, now dead
[Turn 103.66666666666667] [Damage event] COLLISION: plane 184 damaged by 99 for 1 damage, now dead
[Turn 103.66666666666667] [Damage event] COLLISION: plane 99 damaged by 184 for 1 damage, now dead
[Turn 106] [Damage event] COLLISION: plane 196 damaged by 87 for 1 damage, now dead
[Turn 106] [Damage event] COLLISION: plane 87 damaged by 196 for 1 damage, now dead
[Turn 106.53333333333333] [Damage event] COLLISION: plane 103 damaged by 0 for 1 damage, now dead
