
> engine@0.1.0 start
> node --enable-source-maps out/main.js 3001 3002

Waiting for connection from team 0 on 3001
Waiting for connection from team 1 on 3002
Connected to team 1 on 3002
Connected to team 0 on 3001
Game started!
[Turn 41.733333333333334] [Damage event] PLANE_ATTACK: plane 1 damaged by 4 for 1 damage, still alive
[Turn 41.733333333333334] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 41.8] [Damage event] PLANE_ATTACK: plane 4 damaged by 0 for 1 damage, still alive
[Turn 41.8] [Damage event] PLANE_ATTACK: plane 5 damaged by 1 for 1 damage, still alive
[Turn 41.8] [Damage event] PLANE_ATTACK: plane 0 damaged by 4 for 1 damage, still alive
[Turn 41.8] [Damage event] PLANE_ATTACK: plane 1 damaged by 5 for 1 damage, still alive
[Turn 42] [Damage event] PLANE_ATTACK: plane 1 damaged by 4 for 1 damage, still alive
[Turn 42] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 43] [Damage event] PLANE_ATTACK: plane 1 damaged by 4 for 1 damage, still alive
[Turn 43] [Damage event] PLANE_ATTACK: plane 0 damaged by 5 for 1 damage, still alive
[Turn 46.13333333333333] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 47] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 48] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 49] [Damage event] PLANE_ATTACK: plane 1 damaged by 6 for 1 damage, still alive
[Turn 49.333333333333336] [Damage event] PLANE_ATTACK: plane 4 damaged by 3 for 1 damage, still alive
[Turn 50] [Damage event] PLANE_ATTACK: plane 4 damaged by 3 for 1 damage, still alive
[Turn 54.266666666666666] [Damage event] PLANE_ATTACK: plane 3 damaged by 6 for 1 damage, still alive
[Turn 54.266666666666666] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 55] [Damage event] PLANE_ATTACK: plane 3 damaged by 6 for 1 damage, still alive
[Turn 55] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 56] [Damage event] PLANE_ATTACK: plane 3 damaged by 6 for 1 damage, still alive
[Turn 56] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 57] [Damage event] PLANE_ATTACK: plane 3 damaged by 6 for 1 damage, still alive
[Turn 57] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 58] [Damage event] PLANE_ATTACK: plane 3 damaged by 6 for 1 damage, still alive
[Turn 58] [Damage event] PLANE_ATTACK: plane 2 damaged by 7 for 1 damage, still alive
[Turn 68.53333333333333] [Damage event] BORDER: plane 0 damaged for 16 damage, now dead
[Turn 70] [Damage event] BORDER: plane 5 damaged for 19 damage, now dead
[Turn 72.86666666666666] [Damage event] BORDER: plane 1 damaged for 12 damage, now dead
[Turn 74.33333333333333] [Damage event] BORDER: plane 4 damaged for 17 damage, now dead
[Turn 117.26666666666667] [Damage event] BORDER: plane 3 damaged for 25 damage, now dead
[Turn 121.13333333333334] [Damage event] BORDER: plane 2 damaged for 25 damage, now dead
[Turn 121.13333333333334] [Damage event] BORDER: plane 6 damaged for 30 damage, now dead
Game ended!
Writing gamelog to ../../logs/log_2024_09_22__00_00_33/gamelog.json...
Done
